YEAR,OVERALL PICK,NBA TEAM,PLAYER NAME,COLLEGE TEAM,CITY,STATE,CONFERENENCE
2014,2,MIL,Jabari Parker,Duke,Durham,NC,Atlantic Coast Conference
2014,3,PHI,Joel Embiid,Kansas,Lawrence,KS,Big 12 Conference
2014,4,ORL,Aaron Gordon,Arizona,Tucson,AZ,Pacific-12 Conference
2014,5,UTA,Dante Exum,Did not Attend College in U.S.,N/A,N/A,N/A
2014,6,BOS,Marcus Smart,Oklahoma State,Stillwater,OK,Big 12 Conference
2014,7,LAL,Julius Randle,Kentucky,Lexington,KY,Southeastern Conference
2014,8,SAC,Nik Stauskas,Michigan,Ann Arbor,MI,Big Ten Conference
2014,9,CHH,Noah Vonleh,Indiana,Bloomington,IN,Big Ten Conference
2014,10,PHI,Elfrid Payton,Louisiana,Lafayette,LA,Sun Belt Conference
2014,11,DEN,Doug McDermott,Creighton,Omaha,NE,Big East Conference
2014,12,ORL,Dario Saric,Did not Attend College in U.S.,N/A,N/A,N/A
2014,13,MIN,Zach LaVine,UCLA,Los Angeles,CA,Pacific-12 Conference
2014,14,PHO,T.J. Warren,NC State,Raleigh,NC,Atlantic Coast Conference
2014,15,ATL,Adreian Payne,Michigan State,East Lansing,MI,Big Ten Conference
2015,1,MIN,Karl-Anthony Towns,Kentucky,Lexington,KY,Southeastern Conference
2015,2,LAL,D'Angelo Russell,Ohio State,Columbus,OH,Big Ten Conference
2015,3,PHI,Jahlil Okafor,Duke,Durham,NC,Atlantic Coast Conference
2015,4,NYK,Kristaps Porzingis,Did not Attend College in U.S.,N/A,N/A,N/A
2015,5,ORL,Mario Hezonja,Did not Attend College in U.S.,N/A,N/A,N/A
2015,6,SAC,Willie Cauley-Stein,Kentucky,Lexington,KY,Southeastern Conference
2015,7,DEN,Emmanuel Mudiay,Did not Attend College in U.S.,N/A,N/A,N/A
2015,8,DET,Stanley Johnson,Arizona,Tucson,AZ,Pacific-12 Conference
2015,9,CHO,Frank Kaminsky,Wisconsin,Madison,WI,Big Ten Conference
2015,10,MIA,Justise Winslow,Duke,Durham,NC,Atlantic Coast Conference
2015,11,IND,Myles Turner,Texas,Austin,TX,Big 12 Conference
2015,12,UTA,Trey Lyles,Kentucky,Lexington,KY,Southeastern Conference
2015,13,PHO,Devin Booker,Kentucky,Lexington,KY,Southeastern Conference
2015,14,OKC,Cameron Payne,Murray State,Murray,KY,Missouri Valley Conference
2015,15,ATL,Kelly Oubre Jr.,Kansas,Lawrence,KS,Big 12 Conference
2016,1,PHI,Ben Simmons,Louisiana State,Baton Rouge,LA,Southeastern Conference
2016,2,LAL,Brandon Ingram,Duke,Durham,NC,Atlantic Coast Conference
2016,3,BOS,Jaylen Brown,California,Berkeley,CA,Pacific-12 Conference
2016,4,PHO,Dragan Bender,Did not Attend College in U.S.,N/A,N/A,N/A
2016,5,MIN,Kris Dunn,Providence,Providence,RI,Big East Conference
2016,6,NOP,Buddy Hield,Oklahoma,Norman,OK,Big 12 Conference
2016,7,DEN,Jamal Murray,Kentucky,Lexington,KY,Southeastern Conference
2016,8,SAC,Marquese Chriss,Washington,Seattle,WA,Pacific-12 Conference
2016,9,TOR,Jakob Poeltl,Utah,Salt Lake City,UT,Pacific-12 Conference
2016,10,MIL,Thon Maker,Did not Attend College in U.S.,N/A,N/A,N/A
2016,11,ORL,Domantas Sabonis,Gonzaga,Spokane,WA,West Coast Conference
2016,12,UTA,Taurean Prince,Baylor,Waco,TX,Big 12 Conference
2016,13,PHO,Georgios Papagiannis,Did not Attend College in U.S.,N/A,N/A,N/A
2016,14,CHI,Denzel Valentine,Michigan State,East Lansing,MI,Big Ten Conference
2016,15,DEN,Juancho Hernangomez,Did not Attend College in U.S.,N/A,N/A,N/A
2017,1,PHI,Markelle Fultz,Washington,Seattle,WA,Pacific-12 Conference
2017,2,LAL,Lonzo Ball,UCLA,Los Angeles,CA,Pacific-12 Conference
2017,3,BOS,Jayson Tatum,Duke,Durham,NC,Atlantic Coast Conference
2017,4,PHO,Josh Jackson,Kansas,Lawrence,KS,Big 12 Conference
2017,5,SAC,De'Aaron Fox,Kentucky,Lexington,KY,Southeastern Conference
2017,6,ORL,Jonathan Isaac,Florida State,Tallahassee,FL,Atlantic Coast Conference
2017,7,MIN,Lauri Markkanen,Arizona,Tucson,AZ,Pacific-12 Conference
2017,8,NYK,Frank Ntilikina,Did not Attend College in U.S.,N/A,N/A,N/A
2017,9,DAL,Dennis Smith Jr.,NC State,Raleigh,NC,Atlantic Coast Conference
2017,10,SAC,Zach Collins,Gonzaga,Spokane,WA,West Coast Conference
2017,11,CHO,Malik Monk,Kentucky,Lexington,KY,Southeastern Conference
2017,12,DET,Luke Kennard,Duke,Durham,NC,Atlantic Coast Conference
2017,13,DEN,Donovan Mitchell,Louisville,Louisville,KY,Atlantic Coast Conference
2017,14,MIA,Bam Adebayo,Kentucky,Lexington,KY,Southeastern Conference
2017,15,POR,Justin Jackson,UNC,Chapel Hill,NC,Atlantic Coast Conference
2018,1,PHO,Deandre Ayton,Arizona,Tucson,AZ,Pacific-12 Conference
2018,2,SAC,Marvin Bagley III,Duke,Durham,NC,Atlantic Coast Conference
2018,3,ATL,Luka Doncic,Did not Attend College in U.S.,N/A,N/A,N/A
2018,4,MEM,Jaren Jackson Jr.,Michigan State,East Lansing,MI,Big Ten Conference
2018,5,DAL,Trae Young,Oklahoma,Norman,OK,Big 12 Conference
2018,7,CHI,Wendell Carter Jr.,Duke,Durham,NC,Atlantic Coast Conference
